Course Number,Fee,
ANSC487,$20.00,
ANSC497,$10.00,
ANSC617,$10.00,
ANSC622,$30.00,
ANSC623,$53.00,
ANSC626,$175.00,
ANSC633,$100.00,
ANSC633,$40.00,
ANSC633,$40.00,
ANSC635,$150.00,
ANSC647,$80.00,
ANSC667,$80.00,
ANSC677,$100.00,
ANSC687,$20.00,
ANSC697,$10.00,
DASC202,$15.00,
DASC202,$40.00,
DASC202,$40.00,
DASC204,$10.00,
DASC312,$100.00,
DASC313,$100.00,
DASC314,$100.00,
DASC326,$10.00,
DASC327,$20.00,
FSTC497,$10.00,
AGSM125,$40.00,
AGSM201,$80.00,
AGSM285,$20.00,
AGSM289,$70.00,
AGSM291,$30.00,
AGSM301,$80.00,
AGSM310,$80.00,
AGSM315,$80.00,
AGSM325,$80.00,
AGSM335,$80.00,
AGSM337,$60.00,
AGSM355,$60.00,
AGSM360,$60.00,
AGSM403,$80.00,
AGSM410,$80.00,
AGSM435,$70.00,
AGSM439,$65.00,
AGSM440,$65.00,
AGSM461,$60.00,
AGSM470,$80.00,
AGSM475,$80.00,
AGSM481,$30.00,
AGSM485,$20.00,
AGSM489,$60.00,
AGSM491,$30.00,
BAEN150,$40.00,
BAEN265,$85.00,
BAEN285,$20.00,
BAEN289,$70.00,
BAEN291,$30.00,
BAEN301,$85.00,
BAEN302,$85.00,
BAEN320,$60.00,
BAEN340,$50.00,
BAEN354,$70.00,
BAEN360,$50.00,
BAEN365,$80.00,
BAEN366,$50.00,
BAEN370,$80.00,
BAEN375,$50.00,
BAEN412,$80.00,
BAEN414,$85.00,
BAEN422,$80.00,
BAEN427,$60.00,
BAEN458,$30.00,
BAEN460,$30.00,
BAEN464,$50.00,
BAEN465,$30.00,
BAEN468,$65.00,
BAEN469,$50.00,
BAEN471,$50.00,
BAEN474,$70.00,
BAEN477,$50.00,
BAEN479,$70.00,
BAEN480,$70.00,
BAEN481,$30.00,
BAEN485,$20.00,
BAEN489,$70.00,
BAEN491,$30.00,
BAEN601,$70.00,
BAEN610,$70.00,
BAEN614,$85.00,
BAEN615,$70.00,
BAEN616,$70.00,
BAEN620,$70.00,
BAEN622,$85.00,
BAEN622,$40.00,
BAEN622,$40.00,
BAEN625,$70.00,
BAEN627,$60.00,
BAEN631,$70.00,
BAEN651,$60.00,
BAEN652,$60.00,
BAEN653,$60.00,
BAEN661,$70.00,
BAEN662,$70.00,
BAEN665,$70.00,
BAEN667,$70.00,
BAEN669,$70.00,
BAEN670,$70.00,
BAEN672,$70.00,
BAEN673,$70.00,
BAEN674,$70.00,
BAEN675,$80.00,
BAEN681,$20.00,
BAEN683,$30.00,
BAEN685,$20.00,
BAEN689,$70.00,
BAEN690,$30.00,
BAEN691,$30.00,
BICH410,$162.50,
BICH411,$162.50,
BICH412,$135.50,
BICH414,$135.50,
BICH432,$135.50,
BICH491,$70.00,
GENE301,$135.50,
GENE302,$135.50,
GENE310,$25.00,
GENE315,$20.00,
GENE404,$50.00,
GENE404,$50.00,
GENE411,$50.00,
GENE432,$135.50,
GENE481,$50.00,
GENE491,$70.00,
GENE606,$65.00,
GENE620,$90.00,
GENE626,$175.00,
GENE643,$15.00,
GENE654,$100.00,
GENE655,$200.00,
AGLS101,$25.00,
AGLS105,$25.00,
AGLS125,$50.00,
AGLS201,$60.00,
AGLS225,$50.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS292,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS392,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
AGLS492,$75.00,
ENTO201,$70.00,
ENTO208,$70.00,
ENTO210,$70.00,
ENTO285,$20.00,
ENTO291,$20.00,
ENTO300,$100.00,
ENTO301,$150.00,
ENTO305,$75.00,
ENTO306,$100.00,
ENTO313,$75.00,
ENTO315,$40.00,
ENTO320,$50.00,
ENTO320,$150.00,
ENTO320,$150.00,
ENTO322,$60.00,
ENTO330,$0.00,
ENTO401,$80.00,
ENTO402,$80.00,
ENTO402,$100.00,
ENTO402,$100.00,
ENTO403,$80.00,
ENTO405,$0.00,
ENTO405,$0.00,
ENTO423,$125.00,
ENTO424,$75.00,
ENTO428,$40.00,
ENTO429,$200.00,
ENTO431,$40.00,
ENTO432,$200.00,
ENTO435,$80.00,
ENTO440,$50.00,
ENTO450,$80.00,
ENTO451,$51.00,
ENTO481,$40.00,
ENTO482,$70.00,
ENTO484,$20.00,
ENTO485,$20.00,
ENTO491,$20.00,
ENTO601,$20.00,
ENTO602,$150.00,
ENTO606,$65.00,
ENTO608,$30.00,
ENTO610,$20.00,
ENTO612,$60.00,
ENTO614,$60.00,
ENTO615,$20.00,
ENTO617,$60.00,
ENTO618,$125.00,
ENTO619,$100.00,
ENTO619,$0.00,
ENTO619,$0.00,
ENTO621,$60.00,
ENTO623,$0.00,
ENTO624,$25.00,
ENTO625,$60.00,
ENTO628,$20.00,
ENTO681,$10.00,
FIVS205,$100.00,
FIVS285,$20.00,
FIVS291,$20.00,
FIVS316,$200.00,
FIVS415,$100.00,
FIVS421,$200.00,
FIVS422,$200.00,
FIVS431,$40.00,
FIVS432,$200.00,
FIVS432,$0.00,
FIVS432,$0.00,
FIVS432,$0.00,
FIVS435,$100.00,
FIVS481,$100.00,
FIVS482,$70.00,
FIVS484,$50.00,
FIVS485,$50.00,
FIVS491,$50.00,
ESSM102,$40.00,
ESSM201,$50.00,
ESSM203,$30.00,
ESSM300,$100.00,
ESSM300,$600.00,
ESSM301,$70.00,
ESSM301,$35.00,
ESSM302,$50.00,
ESSM302,$46.00,
ESSM303,$70.00,
ESSM303,$15.00,
ESSM304,$70.00,
ESSM304,$15.00,
ESSM305,$50.00,
ESSM307,$50.00,
ESSM308,$20.00,
ESSM309,$20.00,
ESSM311,$50.00,
ESSM313,$50.00,
ESSM314,$30.00,
ESSM315,$60.00,
ESSM315,$25.00,
ESSM316,$60.00,
ESSM316,$250.00,
ESSM317,$35.00,
ESSM319,$20.00,
ESSM319,$22.00,
ESSM320,$20.00,
ESSM351,$60.00,
ESSM398,$80.00,
ESSM405,$20.00,
ESSM406,$20.00,
ESSM415,$60.00,
ESSM415,$85.00,
ESSM420,$130.00,
ESSM440,$50.00,
ESSM440,$70.00,
ESSM459,$50.00,
ESSM460,$200.00,
ESSM464,$50.00,
ESSM481,$30.00,
ESSM484,$5.00,
ESSM485,$5.00,
ESSM489,$40.00,
ESSM489,$175.00,
ESSM600,$25.00,
ESSM601,$20.00,
ESSM605,$20.00,
ESSM610,$40.00,
ESSM610,$60.00,
ESSM610,$60.00,
ESSM611,$60.00,
ESSM611,$65.00,
ESSM612,$50.00,
ESSM612,$120.00,
ESSM615,$0.00,
ESSM616,$75.00,
ESSM617,$60.00,
ESSM617,$60.00,
ESSM617,$60.00,
ESSM620,$50.00,
ESSM620,$50.00,
ESSM621,$50.00,
ESSM622,$25.00,
ESSM624,$20.00,
ESSM626,$60.00,
ESSM626,$60.00,
ESSM628,$50.00,
ESSM628,$70.00,
ESSM630,$25.00,
ESSM630,$40.00,
ESSM630,$60.00,
ESSM630,$60.00,
ESSM631,$130.00,
ESSM635,$50.00,
ESSM635,$60.00,
ESSM635,$60.00,
ESSM636,$50.00,
ESSM636,$60.00,
ESSM636,$60.00,
ESSM644,$0.00,
ESSM647,$70.00,
ESSM647,$65.00,
ESSM648,$0.00,
ESSM648,$0.00,
ESSM651,$60.00,
ESSM651,$60.00,
ESSM651,$60.00,
ESSM652,$60.00,
ESSM655,$100.00,
ESSM656,$100.00,
ESSM660,$50.00,
ESSM660,$60.00,
ESSM660,$60.00,
ESSM665,$60.00,
ESSM670,$20.00,
ESSM670,$60.00,
ESSM670,$60.00,
ESSM671,$0.00,
ESSM672,$0.00,
ESSM672,$0.00,
ESSM676,$60.00,
ESSM676,$60.00,
ESSM681,$10.00,
ESSM684,$5.00,
ESSM685,$5.00,
ESSM689,$70.00,
ESSM691,$5.00,
FRSC101,$0.00,
FRSC101,$0.00,
FRSC203,$0.00,
FRSC300,$0.00,
FRSC300,$0.00,
FRSC302,$0.00,
FRSC304,$0.00,
FRSC305,$0.00,
FRSC305,$0.00,
FRSC306,$0.00,
FRSC307,$0.00,
FRSC308,$0.00,
FRSC311,$0.00,
FRSC314,$0.00,
FRSC398,$0.00,
FRSC404,$0.00,
FRSC405,$0.00,
FRSC406,$0.00,
FRSC406,$0.00,
FRSC406,$0.00,
FRSC409,$0.00,
FRSC414,$0.00,
FRSC420,$70.00,
FRSC420,$10.00,
FRSC421,$60.00,
FRSC421,$10.00,
FRSC430,$0.00,
FRSC430,$0.00,
FRSC461,$0.00,
FRSC489,$0.00,
FRSC489,$0.00,
FRSC630,$60.00,
FRSC630,$60.00,
RENR205,$30.00,
RENR215,$72.00,
RENR215,$20.00,
RENR405,$70.00,
RENR405,$60.00,
RENR405,$60.00,
RENR410,$70.00,
RENR410,$60.00,
RENR444,$100.00,
RENR470,$50.00,
RENR470,$10.00,
RENR489,$50.00,
RENR489,$550.00,
RENR650,$60.00,
RENR650,$60.00,
RLEM102,$0.00,
RLEM301,$0.00,
RLEM301,$0.00,
RLEM302,$0.00,
RLEM302,$0.00,
RLEM303,$0.00,
RLEM303,$0.00,
RLEM304,$0.00,
RLEM304,$0.00,
RLEM305,$0.00,
RLEM314,$0.00,
RLEM315,$0.00,
RLEM315,$0.00,
RLEM316,$0.00,
RLEM316,$0.00,
RLEM317,$0.00,
RLEM320,$0.00,
RLEM321,$40.00,
RLEM321,$175.00,
RLEM324,$40.00,
RLEM401,$60.00,
RLEM401,$65.00,
RLEM415,$0.00,
RLEM415,$0.00,
RLEM420,$0.00,
RLEM421,$0.00,
RLEM421,$0.00,
RLEM440,$0.00,
RLEM440,$0.00,
RLEM481,$0.00,
RLEM484,$0.00,
RLEM485,$0.00,
RLEM489,$0.00,
RLEM489,$0.00,
RLEM689,$50.00,
RLEM691,$5.00,
HORT101,$10.00,
HORT201,$45.00,
HORT202,$100.00,
HORT203,$150.00,
HORT223,$35.00,
HORT225,$25.00,
HORT225,$25.00,
HORT291,$150.00,
HORT301,$40.00,
HORT302,$80.00,
HORT306,$150.00,
HORT308,$150.00,
HORT309,$150.00,
HORT311,$50.00,
HORT315,$50.00,
HORT319,$50.00,
HORT319,$22.00,
HORT325,$50.00,
HORT326,$100.00,
HORT332,$150.00,
HORT335,$40.00,
HORT404,$50.00,
HORT404,$50.00,
HORT418,$10.00,
HORT418,$20.00,
HORT419,$20.00,
HORT420,$125.00,
HORT421,$100.00,
HORT421,$125.00,
HORT422,$50.00,
HORT422,$25.00,
HORT423,$50.00,
HORT425,$150.00,
HORT426,$100.00,
HORT426,$100.00,
HORT427,$100.00,
HORT428,$150.00,
HORT428,$75.00,
HORT429,$150.00,
HORT429,$0.00,
HORT431,$50.00,
HORT431,$50.00,
HORT432,$100.00,
HORT435,$75.00,
HORT440,$15.00,
HORT442,$100.00,
HORT445,$80.00,
HORT445,$50.00,
HORT446,$50.00,
HORT451,$175.00,
HORT452,$175.00,
HORT453,$150.00,
HORT454,$175.00,
HORT485,$150.00,
HORT489,$40.00,
HORT489,$40.00,
HORT489,$25.00,
HORT489,$25.00,
HORT489,$170.00,
HORT489,$50.00,
HORT489,$100.00,
HORT489,$75.00,
HORT489,$55.00,
HORT489,$25.00,
HORT489,$25.00,
HORT489,$100.00,
HORT489,$170.00,
HORT489,$170.00,
HORT491,$150.00,
HORT601,$50.00,
HORT604,$10.00,
HORT605,$50.00,
HORT608,$150.00,
HORT608,$75.00,
HORT609,$150.00,
HORT609,$114.00,
HORT610,$50.00,
HORT618,$25.00,
HORT626,$100.00,
HORT626,$100.00,
HORT644,$50.00,
HORT681,$60.00,
HORT685,$150.00,
HORT689,$40.00,
HORT689,$40.00,
HORT689,$170.00,
HORT689,$150.00,
HORT689,$114.00,
HORT689,$50.00,
HORT689,$10.00,
HORT689,$10.00,
HORT689,$30.00,
HORT689,$170.00,
FSTC201,$50.00,
FSTC210,$50.00,
FSTC305,$70.00,
FSTC305,$3.00,
FSTC307,$100.00,
FSTC311,$50.00,
FSTC312,$100.00,
FSTC313,$100.00,
FSTC314,$100.00,
FSTC315,$75.00,
FSTC326,$10.00,
FSTC327,$20.00,
FSTC330,$20.00,
FSTC331,$20.00,
FSTC369,$200.00,
FSTC401,$70.00,
FSTC406,$105.00,
FSTC410,$25.00,
FSTC440,$25.00,
FSTC446,$50.00,
FSTC489,$100.00,
FSTC610,$25.00,
FSTC611,$53.00,
FSTC619,$150.00,
FSTC629,$105.00,
FSTC630,$70.00,
FSTC631,$20.00,
FSTC640,$25.00,
FSTC647,$80.00,
FSTC667,$80.00,
FSTC681,$20.00,
FSTC689,$100.00,
FSTC697,$10.00,
NUTR202,$50.00,
NUTR203,$100.00,
NUTR210,$50.00,
NUTR211,$100.00,
NUTR289,$0.00,
NUTR289,$50.00,
NUTR289,$175.00,
NUTR289,$50.00,
NUTR303,$5.00,
NUTR304,$150.00,
NUTR369,$200.00,
NUTR404,$100.00,
NUTR405,$100.00,
NUTR410,$25.00,
NUTR430,$100.00,
NUTR444,$100.00,
NUTR470,$100.00,
NUTR481,$20.00,
NUTR485,$100.00,
NUTR489,$150.00,
NUTR617,$10.00,
NUTR640,$25.00,
NUTR647,$8.00,
NUTR689,$100.00,
BESC201,$50.00,
BESC204,$75.00,
BESC314,$150.00,
BESC320,$50.00,
BESC357,$75.00,
BESC367,$75.00,
BESC401,$50.00,
BESC402,$50.00,
BESC403,$200.00,
BESC484,$75.00,
BESC485,$75.00,
PLPA301,$50.00,
PLPA303,$200.00,
PLPA603,$75.00,
PLPA603,$75.00,
PLPA610,$50.00,
PLPA611,$75.00,
PLPA613,$200.00,
PLPA616,$75.00,
PLPA617,$100.00,
PLPA618,$100.00,
PLPA620,$100.00,
PLPA623,$100.00,
PLPA625,$100.00,
PLPA626,$100.00,
PLPA627,$100.00,
PLPA630,$75.00,
PLPA631,$100.00,
PLPA632,$75.00,
PLPA657,$75.00,
PLPA689,$75.00,
PLPA689,$75.00,
POSC201,$181.00,
POSC201,$181.00,
POSC289,$0.00,
POSC289,$0.00,
POSC302,$53.00,
POSC308,$53.00,
POSC309,$53.00,
POSC313,$181.00,
POSC313,$181.00,
POSC319,$53.00,
POSC326,$181.00,
POSC326,$181.00,
POSC333,$53.00,
POSC333,$181.00,
POSC333,$181.00,
POSC381,$53.00,
POSC406,$105.00,
POSC411,$181.00,
POSC411,$181.00,
POSC412,$53.00,
POSC412,$181.00,
POSC412,$181.00,
POSC414,$53.00,
POSC425,$53.00,
POSC427,$181.00,
POSC427,$181.00,
POSC429,$53.00,
POSC489,$105.00,
POSC489,$181.00,
POSC489,$181.00,
POSC603,$0.00,
POSC603,$0.00,
POSC609,$181.00,
POSC609,$181.00,
POSC611,$53.00,
POSC611,$181.00,
POSC611,$181.00,
POSC611,$0.00,
POSC614,$181.00,
POSC614,$181.00,
POSC615,$181.00,
POSC615,$181.00,
POSC619,$150.00,
POSC625,$53.00,
POSC625,$181.00,
POSC625,$181.00,
POSC625,$0.00,
POSC628,$79.00,
POSC628,$181.00,
POSC628,$181.00,
POSC629,$105.00,
POSC634,$79.00,
POSC634,$181.00,
POSC634,$181.00,
POSC645,$181.00,
POSC645,$181.00,
POSC649,$181.00,
POSC649,$181.00,
POSC650,$181.00,
POSC650,$181.00,
POSC660,$105.00,
POSC689,$105.00,
POSC689,$181.00,
POSC689,$181.00,
RENR201,$65.00,
RENR375,$55.00,
RENR400,$55.00,
RENR420,$25.00,
RENR460,$55.00,
RENR460,$25.00,
RENR662,$40.00,
RENR689,$50.00,
RPTS201,$30.00,
RPTS202,$45.00,
RPTS209,$45.00,
RPTS301,$45.00,
RPTS304,$45.00,
RPTS307,$45.00,
RPTS307,$11.25,
RPTS308,$60.00,
RPTS311,$60.00,
RPTS316,$45.00,
RPTS320,$45.00,
RPTS321,$45.00,
RPTS331,$45.00,
RPTS336,$45.00,
RPTS336,$40.00,
RPTS336,$40.00,
RPTS340,$45.00,
RPTS360,$10.00,
RPTS370,$15.00,
RPTS372,$91.00,
RPTS374,$15.00,
RPTS402,$45.00,
RPTS402,$5.00,
RPTS403,$45.00,
RPTS408,$60.00,
RPTS420,$25.00,
RPTS423,$45.00,
RPTS426,$45.00,
RPTS446,$15.00,
RPTS460,$55.00,
RPTS460,$25.00,
RPTS470,$40.00,
RPTS476,$10.00,
RPTS481,$30.00,
RPTS484,$100.00,
RPTS485,$40.00,
RPTS485,$40.00,
RPTS485,$100.00,
RPTS489,$40.00,
RPTS489,$0.00,
RPTS489,$466.00,
RPTS489,$40.00,
RPTS489,$358.00,
RPTS489,$40.00,
RPTS489,$52.00,
RPTS489,$40.00,
RPTS489,$40.00,
RPTS489,$100.00,
RPTS601,$40.00,
RPTS602,$40.00,
RPTS603,$40.00,
RPTS604,$40.00,
RPTS605,$40.00,
RPTS606,$40.00,
RPTS609,$40.00,
RPTS615,$40.00,
RPTS616,$40.00,
RPTS626,$40.00,
RPTS646,$40.00,
RPTS666,$40.00,
RPTS681,$40.00,
RPTS685,$40.00,
RPTS689,$40.00,
MEPS201,$30.00,
MEPS313,$30.00,
MEPS316,$100.00,
MEPS411,$20.00,
MEPS485,$20.00,
MEPS601,$20.00,
MEPS605,$50.00,
MEPS610,$50.00,
MEPS611,$10.00,
MEPS612,$40.00,
MEPS630,$30.00,
